System_Ref,Provider_Name,Eligibility_Criteria_Description
11408,Summer Holiday Food And Fun Activities For Autistic Children,Female
11408,Summer Holiday Food And Fun Activities For Autistic Children,Male
11408,Summer Holiday Food And Fun Activities For Autistic Children,Non-binary/non-conforming
11408,Summer Holiday Food And Fun Activities For Autistic Children,Transgender
11413,Whippersnappers Summer Playscheme 2022,Female
11413,Whippersnappers Summer Playscheme 2022,Male
11413,Whippersnappers Summer Playscheme 2022,Non-binary/non-conforming
11413,Whippersnappers Summer Playscheme 2022,Transgender
11417,Triangle Adventure Playground Summer Holiday Playscheme,Male
11419,Summer 2022 With The Boury Academy,Female
11419,Summer 2022 With The Boury Academy,Male
11419,Summer 2022 With The Boury Academy,Non-binary/non-conforming
11419,Summer 2022 With The Boury Academy,Transgender
11431,Rathbone Summer Fit And Fun Activities Programme,Female
11432,Central Hill Fit And Fun Summer Activity Programme,Female
11435,Lambeth Summer Camp Parallel Youth Enterprise,Female
11435,Lambeth Summer Camp Parallel Youth Enterprise,Male
11435,Lambeth Summer Camp Parallel Youth Enterprise,Non-binary/non-conforming
11435,Lambeth Summer Camp Parallel Youth Enterprise,Transgender
11436,Routes With Omnibus Theatre,Female
11436,Routes With Omnibus Theatre,Male
11436,Routes With Omnibus Theatre,Non-binary/non-conforming
11436,Routes With Omnibus Theatre,Transgender
11440,Karate/ Fitness Training And Self Defence Classes,Female
11440,Karate/ Fitness Training And Self Defence Classes,Male
11440,Karate/ Fitness Training And Self Defence Classes,Non-binary/non-conforming
11440,Karate/ Fitness Training And Self Defence Classes,Transgender
11453,KPCC's Summer Of Fun And Food 2022,Female
11453,KPCC's Summer Of Fun And Food 2022,Male
11453,KPCC's Summer Of Fun And Food 2022,Non-binary/non-conforming
11453,KPCC's Summer Of Fun And Food 2022,Transgender
11462,Oasis Summer Activities At Living Space,Female
11462,Oasis Summer Activities At Living Space,Male
11462,Oasis Summer Activities At Living Space,Non-binary/non-conforming
11462,Oasis Summer Activities At Living Space,Transgender
11463,BIG Summer 2022 Holiday Football Programme,Female
11463,BIG Summer 2022 Holiday Football Programme,Male
11463,BIG Summer 2022 Holiday Football Programme,Non-binary/non-conforming
11463,BIG Summer 2022 Holiday Football Programme,Transgender
11471,Tulse Hill Adventure Playground Summer Playscheme,Female
11471,Tulse Hill Adventure Playground Summer Playscheme,Male
11471,Tulse Hill Adventure Playground Summer Playscheme,Non-binary/non-conforming
11471,Tulse Hill Adventure Playground Summer Playscheme,Transgender
11472,Upper Norwood Library Hub Summer Camps For Children,Female
11472,Upper Norwood Library Hub Summer Camps For Children,Male
11472,Upper Norwood Library Hub Summer Camps For Children,Non-binary/non-conforming
11472,Upper Norwood Library Hub Summer Camps For Children,Transgender
11474,Lambeth Tigers Summer Camp,Male
11475,Lerato Summer Camp,Female
11476,Summer HAF Lifelong Family Links,Female
11476,Summer HAF Lifelong Family Links,Male
11476,Summer HAF Lifelong Family Links,Non-binary/non-conforming
11476,Summer HAF Lifelong Family Links,Transgender
11481,Football Food & Fun With Bankside Open Spaces Trust,Female
11481,Football Food & Fun With Bankside Open Spaces Trust,Male
11481,Football Food & Fun With Bankside Open Spaces Trust,Non-binary/non-conforming
11481,Football Food & Fun With Bankside Open Spaces Trust,Transgender

