System_Ref,Early_Years_Provider_Name,Notes
11407,Summer Creative Club,
11408,Summer Holiday Food And Fun Activities For Autistic Children,https://www.autismvoice.org.uk/highlights-from-easter-2022-holiday-and-food-activities/
11412,Summer Club At Vauxhall City Farm,
11413,Whippersnappers Summer Playscheme 2022,
11414,Culture Chic Shock Play Scheme With Vauxhall Gardens Community Centre,
11415,Latin Holiday Camp Vauxhall 5 Community Centre,https://wetransfer.com/downloads/7fab4559daa8332cc70bdccd93c1ac8520220704110314/595f0218f11a83f1717f7d0d906bdda920220704111154/d0e93e
11417,Triangle Adventure Playground Summer Holiday Playscheme,https://twitter.com/TRIANGLE_APG/status/1528062610515673088/photo/4
11419,Summer 2022 With The Boury Academy,https://thebouryacademy.co.uk/gallery
11427,Summer Football Programme With SMP,
11431,Rathbone Summer Fit And Fun Activities Programme,
11432,Central Hill Fit And Fun Summer Activity Programme,
11435,Lambeth Summer Camp Parallel Youth Enterprise,
11436,Routes With Omnibus Theatre,https://omnibus.sharepoint.com/:i:/g/EcM8g7B40PpMg0tMBU8vAqABfDzc7wTNJyfgVC3GY-aExg?e=ddr2v6
11440,Karate/ Fitness Training And Self Defence Classes,https://norwoodcommunitygroup.co.uk/sports/free-karate-fitness-training-and-self-defence-activities-throughout-the-summer/
11442,MTVH's Schools Out Summer Programmes,
11443,MTVH's Schools Out Summer Programmes,
11444,MTVH's Schools Out Summer Programmes,
11445,Loughborough Summer Of Play Project,
11450,EMCAUK Summer 2022,
11453,KPCC's Summer Of Fun And Food 2022,http://www.kenningtonparkestateresidents.org.uk/wp-content/uploads/2021/08/20210805_112221-768x576.jpg
11454,Kinetika Bloco Junior Summer School,
11455,Kinetika Bloco Senior Summer School,
11456,Artist Minds With 198 Contemporary Arts And Learning And Photofusion,
11457,Activities 4 U Multisports and Arts Camp,www.activities4u.org.uk
11462,Oasis Summer Activities At Living Space,https://www.pexels.com/photo/teen-boys-playing-with-each-other-on-a-playground-10506374/
11463,BIG Summer 2022 Holiday Football Programme,
11465,Big Up Communities At The Stewarts Road Adventure Playground Summer Playscheme,
11466,BIGKID Summer Holiday programme,
11467,Drama Workshops,
11468,Keep Moving - Summer Haf,
11469,Get Creative With Code 7,
11470,SHARP Summer 2022 with CEF Lyncx,
11471,Tulse Hill Adventure Playground Summer Playscheme,https://www.high-trees.org/activities-for-young-people/#activities-on-offer
11472,Upper Norwood Library Hub Summer Camps For Children,https://www.uppernorwoodlibraryhub.org/summercamps2022
11473,Lollard St. Adventure Playground,
11474,Lambeth Tigers Summer Camp,
11475,Lerato Summer Camp,
11476,Summer HAF Lifelong Family Links,
11477,YPM Summer Camp,
11478,Brixton Topcats Summer Basketball Camp,
11480,Latin Holiday Camp Notre Dame,https://wetransfer.com/downloads/088ad33eca951be766936175b3b5145320220704120417/855710556bac78fc13122e70a7d5e60c20220704120417/bed975
11481,Football Food & Fun With Bankside Open Spaces Trust,https://www.pexels.com/photo/macro-photo-of-mitre-ball-102448/

