System_Ref,FIS_Provider_Name,Age_Group_Description
11407,Summer Creative Club,3-18
11408,Summer Holiday Food And Fun Activities For Autistic Children,6-12
11412,Summer Club At Vauxhall City Farm,8-14
11413,Whippersnappers Summer Playscheme 2022,8-16
11414,Culture Chic Shock Play Scheme With Vauxhall Gardens Community Centre,8-16
11415,Latin Holiday Camp Vauxhall 5 Community Centre,5-14
11417,Triangle Adventure Playground Summer Holiday Playscheme,6-17
11419,Summer 2022 With The Boury Academy,4-18
11427,Summer Football Programme With SMP,5-16
11431,Rathbone Summer Fit And Fun Activities Programme,11-19
11432,Central Hill Fit And Fun Summer Activity Programme,10-19
11435,Lambeth Summer Camp Parallel Youth Enterprise,9-16
11436,Routes With Omnibus Theatre,8-11
11440,Karate/ Fitness Training And Self Defence Classes,7-18
11442,MTVH's Schools Out Summer Programmes,8-16
11443,MTVH's Schools Out Summer Programmes,8-16
11444,MTVH's Schools Out Summer Programmes,8-16
11445,Loughborough Summer Of Play Project,0-18
11450,EMCAUK Summer 2022,4-19
11453,KPCC's Summer Of Fun And Food 2022,4-14
11454,Kinetika Bloco Junior Summer School,8-13
11455,Kinetika Bloco Senior Summer School,14-25
11456,Artist Minds With 198 Contemporary Arts And Learning And Photofusion,8-16
11457,Activities 4 U Multisports and Arts Camp,5-16
11462,Oasis Summer Activities At Living Space,11-16
11463,BIG Summer 2022 Holiday Football Programme,7-16
11465,Big Up Communities At The Stewarts Road Adventure Playground Summer Playscheme,8-16
11466,BIGKID Summer Holiday programme,11-18
11467,Drama Workshops,7-13
11468,Keep Moving - Summer Haf,9-18
11469,Get Creative With Code 7,7-16
11470,SHARP Summer 2022 with CEF Lyncx,7-16
11471,Tulse Hill Adventure Playground Summer Playscheme,8-16
11472,Upper Norwood Library Hub Summer Camps For Children,5-11
11473,Lollard St. Adventure Playground,6-16
11474,Lambeth Tigers Summer Camp,5-16
11475,Lerato Summer Camp,8-16
11476,Summer HAF Lifelong Family Links,8-25
11477,YPM Summer Camp,4-12
11478,Brixton Topcats Summer Basketball Camp,5-15
11480,Latin Holiday Camp Notre Dame,5-14
11481,Football Food & Fun With Bankside Open Spaces Trust,8-18

