System_Ref,Name,Note,Upload_to_FIDy
207,Kids' City At Woodmansterne Primary School - After School Club,"Prices:

After School Club                   £14.50
Superheroes After School     £19.50",FSD
208,Arty Party,"Must book in advance.  Bring packed lunch & an apron
We provide arts & crafts, mainly indoors activities

",FSD
294,Tulse Hill Adventure Playground,,FSD
297,Kids' City At St. Marys R.C. Primary School - After School Club,"Prices:

After School Club                    £14.50
Superheroes After School      £19.50",FSD
301,Slade Gardens Adventure Playground,"The service  is situated in Slade Gardens park,  on the corner of Stockwell Park Road and Lorn Road.  The nearest post code is SW9 0AD.
Holiday Services take place a various time through the day.

",FSD
391,St Peters After School Club,"For children using the after school provision:
3 days or less: £14 per day
4 days or more: £12 per day",ECD
508,EKC at Archbishop Sumner School,,ECD
630,Aktiv-Fun,,ECD
703,Lollard Street Adventure Playground,,FSD
706,Willington Road Youth & Community Hub,,FSD
709,Triangle Adventure Playground,,FSD
802,Elm Court School,,ECD
803,Lansdowne School,,ECD
804,The Michael Tippett School,,FSD
805,Turney Primary And Secondary Special School,,ECD
874,The Livity School,,FSD
875,Allen Edwards Primary School - After School Club,,ECD
882,Holmewood Nursery School - After School Club,,ECD
883,Loughborough Primary School - After School Club,,ECD
890,Telferscot Primary School - After School Club,"Pick-up times for TASC are 5.00pm to 5.10pm or 5.45pm to 6.00pm.

Sessions are pre-booked, but if you do require a place, please email Sammi directly. Please note that we are not currently offering ad hoc places. This will be reviewed as the term goes on.
",ECD
893,Christ Church Primary Sw9 - After School Club,"After School Activities (until 4:30pm) - £4.00 per day.
After School Activities plus After School Club (until 6:00pm) - £11.00 per day
",ECD
894,Durand Academy - After School Club,,ECD
897,Hitherfield Primary School - After School Club,,ECD
901,Rosendale Primary School After School Club,,ECD
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,,ECD
903,Stockwell Primary School - After School Club,"Lead Headteacher - Andrea Parker

The Ater School Club runs from 15:30 pm until 17:45 pm with a variety of games that the children can take part in the school playground. 

There is a charge per sessionof:
£2.00 from 15:30 pm to 16:30 pm
£7.00 from 15:30 pm to 17:45 pm 
£5.00 from 16.30 pm to 17.45 pm

We cater for the children from Nursery to Year 6 at 16:30 pm. 

A snack is provided and this includes pasta, wraps, soup, jacket potato and salads.
",ECD
908,Vauxhall City Farm,,FSD
924,Hurley Pre-School,,ECD
925,Hurley Pre-School,,ECD
941,Magic Roundabout Nurseries Ltd,,FSD
952,Whippersnappers Inclusive After School Club,"Sessions cost: Sessions start from £15 a day

School pick ups: Turney, Rosendale, Judith Kerr, St Judes, Dulwich Hamlet, Dulwich Village and The Livity school
",FSD
976,Oasis Academy Johanna - After School Club,,ECD
1012,Cherubins Day Nursery Ltd,,FSD
1072,St Peter's Church - Breakfast Club,Also drop off at St Joseph's RC Primary (Borough of Croydon),ECD
1383,Brixton Library,"Facilities and services

• DVDs - For internet, email and word-processing
• Free use of computers  
• Free WiFi  
• Reference library - Encyclopedias, directories, maps, newspapers and magazines, council leaflets, government publications and books for study
• Study desks   
• Talking books  
• Foreign language books - Bengali, Chinese, French, German, Italian, Polish, Portuguese, Pashto, Russian, Somali and Spanish
• Books for sale - Lending books now on sale 50p or 3 for £1 and Reference books starting from £2
",FSD
1388,Carnegie Library,,FSD
1393,Clapham Library,,FSD
1399,Durning Library,"Facilities and services

• DVDs - Popular box sets also available
• Community language books - French and Bengali
• Free use of computers - Up to 2 hours of free use for library members
• Free Wi-Fi - Free Wi-Fi in all libraries
• Reference and information service - Maps, newspapers and magazines, council leaflets, government publications and books for study
",FSD
1404,Minet Library,,FSD
1415,Tate South Lambeth Library,,FSD
1420,Streatham Library,"Facilities and services

• Books, computers self-service machines and 3D Printer.
• A welcoming space to sit, work or read in an attractive reading room with original features, plus a library garden to the rear.
• Read-aloud and magnification technology to help people who are blind, dyslexic or visually impaired to have better access to the resources on offer.
• Community meeting rooms and hot desk space for local business people.
• We offer books, DVDs, Spoken Word CD's, Language Courses and books in other languages.  
• Library members also have access to a wide range of online resources including E Audio, E Books, magazines and online reference materials for adults and children.  Many of these can be accessed from home.
• Other services include free Wi-Fi and internet access, word processing, printing, photocopying and scanning. 
• Regular library activities include weekly rhyme and story-time sessions for under-fives, adult reading groups, an older person’s group, plus seasonal events throughout the year including children’s events and activities over the summer holidays.
",FSD
1445,Waterloo Library,"Facilities and services

• DVDs  
• Foreign language books - Bengali
• Free use of computers  
• Free Wi-Fi - For internet, email and word-processing
• Reference and information service 
",FSD
1450,West Norwood Library,,FSD
1491,Slade Gardens Play And Stay,,FSD
1514,Kennington Park Centre Stay And Play,,FSD
1517,Vauxhall Primary School - Breakfast Club,,FSD
1519,Kennington Park Centre Adventure Playground,,FSD
1525,Streatham Vale Stay And Play,,FSD
1612,Friday Youth Club @ Slade Gardens Adventure Playground,,FSD
1616,Streatham Adventure Playground,"For Half Term & Summer Holiday opening hours  please see below:

Monday to Friday - 10.00 am-15.45 pm (Autumn/Winter)
Monday to Friday -11.00 am -16.45 pm (Spring/Summer)






",FSD
1657,Flaxman Sports Centre,"Our facilities 

• Gym 
• Sports hall  
• Squash courts

",FSD
1658,Clapham Leisure Centre,"Our facilities 

• Gym
• Swimming pool
• Sports hall
• Group Cycle Studio
• Meeting room
",FSD
1678,Streatham Ice And Leisure Centre,"Our facilities 

• Exercise studios
• Group Cycle Studio
• Gym - Containing 100 stations
• Ice rink - Olympic sized  
• Swimming pools - 25m six lane pool and a 13m teaching pool
• Sports hall  
• Soft Play 
",FSD
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,,FSD
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,,FSD
