System_Ref,Name,Provider_Type_Description,First_Line,Second_Line,Third_Line,Locality,Town,Post_Code,Easting,Northing,Upload_to_FIDy
924,Hurley Pre-School,Breakfast Club,Hurley Pre School,Hurley House,Kempsford Road,,London,SE11 4PB,531483,178599,ECD
925,Hurley Pre-School,After School Club,Hurley Pre School,Hurley House,Kempsford Road,,London,SE11 4PB,531483,178599,ECD
10672,Baytree Youth Service,Youth Projects,The Baytree Centre,300-302 Brixton Road,,,London,SW9 6AE,531100,176200,FSD
6032,Kid's City At Woodmansterne Primary School - Breakfast Club,Breakfast Club,Woodmansterne Primary School,Stockport Road,,,London,SW16 5XE,529674,169741,FSD
207,Kids' City At Woodmansterne Primary School - After School Club,After School Club,Woodmansterne Primary School,Stockport Road  ,,,London,SW16 5XE,529713,169884,FSD
208,Arty Party,Holiday Provision,St Pauls Church,Rectory Grove,,,London,SW4 0DX,529268,176069,FSD
941,Magic Roundabout Nurseries Ltd,Holiday Playscheme,MRN House,Binfield Road,,,London,SW4 6TB,530273,176722,FSD
2821,Oasis Play After School Environmental Play,After School Club,Oasis Children's Nature Garden,Corner of Larkhall Lane and Studley Road,,,London,SW4 6SP,530171,176738,FSD
5975,Saturday Community Days,Activity,The Oasisplay Nature Garden,Corner of Larkhall Lane and Studley Road,,,London,SW4 6SP,529970,176427,FSD
297,Kids' City At St. Marys R.C. Primary School - After School Club,After School Club,St. Marys RC Primary School,Crescent Lane,,,London,SW4 9QJ,529435,175007,FSD
1612,Friday Youth Club @ Slade Gardens Adventure Playground,Youth Club,Stockwell Park Road,Lorn Road,,,,SW9 0AD,530943,176470,FSD
301,Slade Gardens Adventure Playground,Adventure Playground,Stockwell Park Road,Lorn Road,,,,SW9 0AD,530943,176470,FSD
1072,St Peter's Church - Breakfast Club,Breakfast Club,St Peters Church,Leigham Court Road,,,London,SW16 2NF,530375,172585,ECD
391,St Peters After School Club,After School Club,St Peters Church,Leigham Court Road,,,London,SW16 2NF,530431,172598,ECD
7433,Coin Street Youth Night,Youth Club,34 - 68 Colombo Street,,,,London,SE1 8DP,531609,180231,FSD
9976,Coin Street Neighbourhood Centre - Stay & Play,Stay And Play One O'Clock Club,108 Stamford Street,,,,London,SE1 9NH,531212,180274,FSD
5325,Coin Street Neighbourhood Centre,Community Group,108 Stamford Street,,,,London,SE1 9NH,531212,180274,FSD
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Holiday Playscheme,108 Stamford Street,,,,London,SE1 9NH,531212,180274,FSD
7438,Coin Street  Access Fitness - Young People 12 - 21 Year Olds,Activity,108 Stamford Street,,,,London,SE1 9NH,531212,180274,FSD
7068,Coin Street Young Leaders,Youth Projects,108 Stamford Street,,,,London,SE1 9NH,531212,180274,FSD
9975,Coin Street Upgrade Yourself: Tutoring And Mentoring,Out Of School Tuition,108 Stamford Street,,,,London,SE1 9NH,531212,180274,FSD
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Diet And Nutrition,108 Stamford Street,,,,London,SE1 9NH,531212,180274,FSD
7440,Coin Street Under 20's Antenatal Group,Young Parent Support,108 Stamford Street,,,,London,SE1 9NH,531212,180274,FSD
6124,Springfield Community Flat,Holiday Provision,Springfield Community Health Centre,110 Union Road,,,London,SW8 2SH,529770,176276,FSD
