System_Ref,FIS_Provider_Name,Upload_to_FIDy,Age_Group_Description,Number_Registered_For,Number_Currently_Caring_For,Number_Of_Vacancies
207,Kids' City At Woodmansterne Primary School - After School Club,FSD,0-5,49,,
207,Kids' City At Woodmansterne Primary School - After School Club,FSD,5-8,49,,
207,Kids' City At Woodmansterne Primary School - After School Club,FSD,3-11,40,,
208,Arty Party,FSD,5-11,,,
294,Tulse Hill Adventure Playground,FSD,8-16,,,
297,Kids' City At St. Marys R.C. Primary School - After School Club,FSD,0-5,30,,
297,Kids' City At St. Marys R.C. Primary School - After School Club,FSD,5-8,30,,
297,Kids' City At St. Marys R.C. Primary School - After School Club,FSD,3-11,,,
301,Slade Gardens Adventure Playground,FSD,5-19,,,
391,St Peters After School Club,ECD,0-5,26,,
391,St Peters After School Club,ECD,3-5,26,,
391,St Peters After School Club,ECD,5-8,26,,
391,St Peters After School Club,ECD,5-7,26,,
391,St Peters After School Club,ECD,0-1,26,,
391,St Peters After School Club,ECD,2-2,26,,
476,Springfield Community Flat After School Club,ECD,0-5,40,0,
476,Springfield Community Flat After School Club,ECD,3-5,40,4,
476,Springfield Community Flat After School Club,ECD,5-8,40,,
476,Springfield Community Flat After School Club,ECD,5-7,40,,
476,Springfield Community Flat After School Club,ECD,2-2,40,10,
508,EKC at Archbishop Sumner School,ECD,0-5,40,,
508,EKC at Archbishop Sumner School,ECD,3-5,40,,
508,EKC at Archbishop Sumner School,ECD,5-8,40,,
508,EKC at Archbishop Sumner School,ECD,5-7,40,,
630,Aktiv-Fun,ECD,4-11,,,
697,Rosemead Preparatory School & Nursery,ECD,3-5,45,,
697,Rosemead Preparatory School & Nursery,ECD,3-12,,,
698,The Whitehouse Prep & Woodentops Kindergarten,ECD,3-5,31,,
698,The Whitehouse Prep & Woodentops Kindergarten,ECD,5-8,56,,
698,The Whitehouse Prep & Woodentops Kindergarten,ECD,2-2,13,,
699,Broomwood Hall School,ECD,4-8,160,,
701,Streatham & Clapham High School Junior Dept,ECD,5-7,24,,
701,Streatham & Clapham High School Junior Dept,ECD,3-4,40,,
702, London Steiner School,ECD,5-7,,,
702, London Steiner School,ECD,3-4,,,
703,Lollard Street Adventure Playground,FSD,6-16,,,
706,Willington Road Youth & Community Hub,FSD,5-16,,,
709,Triangle Adventure Playground,FSD,6-18,,,
802,Elm Court School,ECD,9-16,100,96,
803,Lansdowne School,ECD,11-19,,,
804,The Michael Tippett School,FSD,11-19,,,
805,Turney Primary And Secondary Special School,ECD,4-18,140,124,
874,The Livity School,FSD,3-12,,,
875,Allen Edwards Primary School - After School Club,ECD,4-11,,,
877,Cherubins Day Nursery Ltd,ECD,0-5,86,,
877,Cherubins Day Nursery Ltd,ECD,5-8,86,,
877,Cherubins Day Nursery Ltd,ECD,4-10,,,
882,Holmewood Nursery School - After School Club,ECD,3-7,,,
883,Loughborough Primary School - After School Club,ECD,3-12,45,,
885,Julians Primary School - Breakfast Club,ECD,4-11,16,,
890,Telferscot Primary School - After School Club,ECD,5-11,,,
893,Christ Church Primary Sw9 - After School Club,ECD,4-11,,,
894,Durand Academy - After School Club,ECD,3-12,,,
897,Hitherfield Primary School - After School Club,ECD,4-11,,,6
901,Rosendale Primary School After School Club,ECD,5-11,675,130,
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,ECD,4-11,,,
903,Stockwell Primary School - After School Club,ECD,4-11,,,
919,Macaulay Church Of England Primary School - Breakfast Club,ECD,3-12,260,227,
924,Hurley Pre-School,ECD,0-5,36,,
924,Hurley Pre-School,ECD,2-5,10,,
925,Hurley Pre-School,ECD,0-5,36,,
925,Hurley Pre-School,ECD,2-5,10,,
941,Magic Roundabout Nurseries Ltd,FSD,0-5,185,,
941,Magic Roundabout Nurseries Ltd,FSD,3-5,186,,
941,Magic Roundabout Nurseries Ltd,FSD,5-8,185,,
941,Magic Roundabout Nurseries Ltd,FSD,5-7,186,,
941,Magic Roundabout Nurseries Ltd,FSD,0-1,72,,
941,Magic Roundabout Nurseries Ltd,FSD,2-2,186,,
942,Loughborough Primary School - Breakfast Club,ECD,3-12,35,,
952,Whippersnappers Inclusive After School Club,FSD,5-11,,,
961,Streatham Wells Primary School - Breakfast Club,ECD,4-11,,,
972,Hitherfield Primary School - Breakfast Club,ECD,4-11,,,
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,ECD,4-11,30,,
975,Oasis Academy Johanna - Breakfast Club,ECD,4-11,48,,
976,Oasis Academy Johanna - After School Club,ECD,4-11,48,,
988,Rosendale Primary School Breakfast Club,ECD,4-11,337,70,
1012,Cherubins Day Nursery Ltd,FSD,0-5,86,,
1012,Cherubins Day Nursery Ltd,FSD,3-5,86,,
1012,Cherubins Day Nursery Ltd,FSD,5-8,86,,
1012,Cherubins Day Nursery Ltd,FSD,5-7,86,,
1012,Cherubins Day Nursery Ltd,FSD,0-1,20,,
1012,Cherubins Day Nursery Ltd,FSD,2-2,20,,
1012,Cherubins Day Nursery Ltd,FSD,3-7,97,,
1072,St Peter's Church - Breakfast Club,ECD,0-5,26,,
1072,St Peter's Church - Breakfast Club,ECD,3-5,26,,
1072,St Peter's Church - Breakfast Club,ECD,5-7,26,,
1072,St Peter's Church - Breakfast Club,ECD,0-1,26,,
1072,St Peter's Church - Breakfast Club,ECD,2-2,26,,
1072,St Peter's Church - Breakfast Club,ECD,5-7,26,,
1491,Slade Gardens Play And Stay,FSD,0-5,,,
1491,Slade Gardens Play And Stay,FSD,0-5,,,
1514,Kennington Park Centre Stay And Play,FSD,0-4,,,
1517,Vauxhall Primary School - Breakfast Club,FSD,4-11,210,,
1519,Kennington Park Centre Adventure Playground,FSD,6-16,,,
1525,Streatham Vale Stay And Play,FSD,0-5,,,
1616,Streatham Adventure Playground,FSD,6-16,,,
1616,Streatham Adventure Playground,FSD,6-14,,,
1706,Clapham Manor - Breakfast Club,ECD,4-11,,,
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,FSD,0-5,190,,
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,FSD,5-8,190,,
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,FSD,0-5,190,,
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,FSD,5-8,190,,
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,FSD,4-11,,,
1938,Whippersnappers,FSD,0-25,,,
2113,St Michael's Fellowship,FSD,16-25,,,
2279,Rathbone Youth Service,FSD,11-25,,,
2312,Wyvil Language Centre,FSD,4-11,15,,
2321,Home-Start Lambeth,FSD,0-5,,,
2619,Alford House Youth Club,FSD,8-21,,,
2665,Hill Mead Primary School - Breakfast Club,ECD,4-11,,,
2701,Special Educational Needs (SEND),FSD,0-25,,,
2704,S.Y.C.T. Seniors Club,FSD,14-21,,,
2821,Oasis Play After School Environmental Play,FSD,5-16,,,
3048,Lifelong Family Links Playschemes,FSD,0-5,23,,
3048,Lifelong Family Links Playschemes,FSD,5-8,23,,
3048,Lifelong Family Links Playschemes,FSD,5-25,,,
3076,Bonneville Primary School - Carry On Café,ECD,4-11,,,
3095,Park Campus Academy (Secondary Alternative Provision),ECD,11-18,155,,
3210,Scope,FSD,0-25,,,
3843,Wheels For Wellbeing,FSD,0-25,,,
3957,Friends Of Immanuel And St Andrews Primary School,FSD,3-12,,,
4063,Welcare - Lambeth Office,FSD,0-13,,,
4286,Lambeth Participation And Engagement Service (PES),FSD,0-25,,,
4335,Disability Advice Service Lambeth (DASL),FSD,0-25,,,
4499,St Leonard's Church Of England Primary School - Breakfast Club,ECD,4-11,270,,
4536,Kennington Park Academy (Primary Alternative Provision),ECD,5-11,,,
4696,South Central Youth Ltd - Youth Projects,FSD,12-25,,,
4817,St Stephen's Church Of England Primary School - After School Club,ECD,4-11,,,
4842,Kids' City At Sudbourne Primary School - After School Club,FSD,3-11,,,
4851,Alford House Mixed Youth Club,FSD,8-19,,,
4852,Alford House Girls Youth Club,FSD,8-18,,,
4980,Morley College,FSD,18-25,,,
5067,Bigkid Foundation,FSD,11-25,,,
5114,S.Y.C.T. Streatham Wednesday Group,FSD,13-30,,,
5325,Coin Street Neighbourhood Centre,FSD,0-5,190,,
5325,Coin Street Neighbourhood Centre,FSD,5-8,190,,
5325,Coin Street Neighbourhood Centre,FSD,0-18,,,
5391,Butterfly After School Club,ECD,0-5,30,,
5391,Butterfly After School Club,ECD,5-8,30,,
5471,Springfield Community Flat Breakfast Club,ECD,0-5,40,,
5471,Springfield Community Flat Breakfast Club,ECD,3-5,40,,
5471,Springfield Community Flat Breakfast Club,ECD,5-8,40,,
5471,Springfield Community Flat Breakfast Club,ECD,5-7,40,,
5471,Springfield Community Flat Breakfast Club,ECD,2-2,40,,
5678,Grove Adventure Playground,FSD,6-10,,,
5771,Sports City At Richard Atkins Primary School - Breakfast Club,FSD,3-12,32,,
5836,Oakden Kids Club,ECD,0-5,42,,
5836,Oakden Kids Club,ECD,3-5,40,,
5836,Oakden Kids Club,ECD,5-8,42,,
5836,Oakden Kids Club,ECD,5-7,40,,
5975,Saturday Community Days,FSD,1-99,,,
5982,Prime Childcare Services,FSD,5-18,,,
6019,Ashmole Primary School Edc - Extended Day Care,ECD,4-11,,,
6022,Bonneville Primary School - Reading Café,ECD,4-11,,,
6023,Henry Cavendish Primary School -  Breakfast Club (Balham),ECD,4-11,,,
6024,Sudbourne Primary School - Breakfast Club,ECD,4-11,32,,
6025,Heathbrook Primary School - Breakfast Club,ECD,4-11,,,
6026,Heathbrook Primary School - After School Club,ECD,4-11,,,
6029,Sunnyhill Primary School - Breakfast Club,ECD,4-11,,,
6032,Kid's City At Woodmansterne Primary School - Breakfast Club,FSD,0-5,49,,
6032,Kid's City At Woodmansterne Primary School - Breakfast Club,FSD,5-8,49,,
6032,Kid's City At Woodmansterne Primary School - Breakfast Club,FSD,3-11,,,
6033,Immanuel And St Andrew C Of E Primary School - After School Club,ECD,5-11,,,
6041,Allen Edwards Primary School - Breakfast Club,ECD,4-11,,,
6043,Crown Lane Primary School - Breakfast Club,ECD,4-11,,,
6124,Springfield Community Flat,FSD,0-5,40,,
6124,Springfield Community Flat,FSD,5-8,40,,
6126,Corpus Christi Catholic Primary School - After School Club,ECD,4-11,,,
6128,Clapham Manor Primary School - After School Club,ECD,5-11,,,
6129,Streatham Wells Primary School - After School Club,ECD,4-11,,,
6130,Stockwell Primary School - Breakfast Club,ECD,5-11,,,
6138,Lily's Kids Klub,ECD,0-5,61,,
6138,Lily's Kids Klub,ECD,3-5,61,,
6138,Lily's Kids Klub,ECD,5-8,61,,
6138,Lily's Kids Klub,ECD,5-7,40,,
6138,Lily's Kids Klub,ECD,2-2,61,,
6138,Lily's Kids Klub,ECD,4-11,,,
6139,Lily's Kids Klub,ECD,0-5,61,,
6139,Lily's Kids Klub,ECD,3-5,61,,
6139,Lily's Kids Klub,ECD,5-8,61,,
6139,Lily's Kids Klub,ECD,5-7,61,,
6139,Lily's Kids Klub,ECD,2-2,61,,
6139,Lily's Kids Klub,ECD,4-11,,,
6143,Jubilee Primary School - Breakfast Club,ECD,4-11,,,
6149,Christ Church Primary Sw9 - Breakfast Club,ECD,4-11,,,
6151,Wyvil Primary School - Breakfast Club,ECD,4-11,,,
6151,Wyvil Primary School - Breakfast Club,ECD,4-11,,,
6197,Fenstanton Infant School - Breakfast Club,ECD,4-11,,,
6198,Fenstanton Infant School - After School Club,ECD,4-11,,,
6213,Cherubins Holiday Club,FSD,0-5,86,,
6213,Cherubins Holiday Club,FSD,3-5,86,,
6213,Cherubins Holiday Club,FSD,5-7,86,,
6213,Cherubins Holiday Club,FSD,0-1,20,,
6213,Cherubins Holiday Club,FSD,2-2,20,,
6373,Brixton Wings,FSD,10-17,,,
6578,Oakden Kids Club,FSD,0-5,42,,
6578,Oakden Kids Club,FSD,3-5,40,,
6578,Oakden Kids Club,FSD,5-8,42,,
6578,Oakden Kids Club,FSD,5-7,40,,
6580,Corpus Christi Catholic Primary School - Breakfast Club,FSD,4-11,30,,
6583,Archbishop Sumner School - Breakfast Club,ECD,4-11,,,
6584,Jessop Primary School - Breakfast Club,ECD,4-11,,,
6585,Jessop Primary School - After School Club,ECD,4-11,,,
6586,Holy Trinity Church Of England Primary School - Breakfast Club,ECD,5-11,,,
6587,Kings Avenue Primary School - Breakfast Club,ECD,3-12,,,
6588,Kings Avenue Primary School - After School Club,ECD,3-12,,,
6589,Kingswood Primary School - Breakfast Club,ECD,3-12,,,
6590,Kingswood Primary School - After School Club,ECD,3-12,,,
6591,Larkhall Children's Centre - Breakfast Club,ECD,4-11,420,,
6602,St Andrew's Roman Catholic Primary - Sunrise Breakfast Club,ECD,4-11,,,
6603,Telferscot Primary School - Breakfast Club,ECD,5-11,,,
6606,Henry Cavendish Primary School  - Breakfast Club (Streatham),ECD,4-11,,,
6607,St Saviour's School - Breakfast Club,ECD,5-11,210,,
6661,Explore Learning Brixton,FSD,3-5,1,,
6661,Explore Learning Brixton,FSD,5-7,1,,
6704,Aurora House - Centre For Children With Autism,FSD,4-11,56,,
6712,Oasis Adventure Playground,FSD,5-8,70,,
6712,Oasis Adventure Playground,FSD,6-16,,,
6799,Children & Young People Services For Spanish/portuguese Speakers (5 To 19 Yrs Old),FSD,5-19,,,
6805,Afewee Training Centre,FSD,5-16,,,
6894,The Oasis Inclusion Project,FSD,6-16,,,
6961,Streatham Leisure Centre Holiday Play Scheme,FSD,5-8,27,,
6961,Streatham Leisure Centre Holiday Play Scheme,FSD,5-7,27,,
6962,YPM Childcare Provider at Granton,ECD,0-5,35,,
6962,YPM Childcare Provider at Granton,ECD,3-5,5,,
6962,YPM Childcare Provider at Granton,ECD,5-8,35,,
6962,YPM Childcare Provider at Granton,ECD,5-7,6,,
7049,YPM Childcare Provider at Granton,FSD,0-5,35,,
7049,YPM Childcare Provider at Granton,FSD,3-5,10,,
7049,YPM Childcare Provider at Granton,FSD,5-8,35,,
7049,YPM Childcare Provider at Granton,FSD,5-7,35,,
7068,Coin Street Young Leaders,FSD,12-19,,,
7075,YPM Childcare Provider at Granton,ECD,0-5,35,,
7075,YPM Childcare Provider at Granton,ECD,3-5,41,,
