System_Ref,Provider_Name,Area_Covered_Description
207,Kids' City At Woodmansterne Primary School - After School Club,Streatham
294,Tulse Hill Adventure Playground,Brixton/Tulse Hill
297,Kids' City At St. Marys R.C. Primary School - After School Club,Clapham/Brixton Hill
301,Slade Gardens Adventure Playground,Brixton/Stockwell
391,St Peters After School Club,Streatham
476,Springfield Community Flat After School Club,Brixton/Stockwell
508,EKC at Archbishop Sumner School,North Lambeth
630,Aktiv-Fun,Clapham/Brixton Hill
697,Rosemead Preparatory School & Nursery,Norwood
698,The Whitehouse Prep & Woodentops Kindergarten,Clapham/Brixton Hill
699,Broomwood Hall School,Streatham
701,Streatham & Clapham High School Junior Dept,Streatham
702, London Steiner School,Clapham/Brixton Hill
703,Lollard Street Adventure Playground,North Lambeth
706,Willington Road Youth & Community Hub,Brixton/Stockwell
706,Willington Road Youth & Community Hub,Brixton/Tulse Hill
706,Willington Road Youth & Community Hub,Clapham/Brixton Hill
709,Triangle Adventure Playground,North Lambeth
802,Elm Court School,Brixton/Tulse Hill
803,Lansdowne School,Brixton/Stockwell
804,The Michael Tippett School,Brixton/Stockwell
805,Turney Primary And Secondary Special School,Norwood
874,The Livity School,Streatham
875,Allen Edwards Primary School - After School Club,North Lambeth
882,Holmewood Nursery School - After School Club,Clapham/Brixton Hill
883,Loughborough Primary School - After School Club,Brixton/Tulse Hill
885,Julians Primary School - Breakfast Club,Norwood
890,Telferscot Primary School - After School Club,Clapham/Brixton Hill
893,Christ Church Primary Sw9 - After School Club,Brixton/Stockwell
897,Hitherfield Primary School - After School Club,Streatham
901,Rosendale Primary School After School Club,Norwood
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,Streatham
903,Stockwell Primary School - After School Club,Brixton/Stockwell
908,Vauxhall City Farm,North Lambeth
919,Macaulay Church Of England Primary School - Breakfast Club,Clapham/Brixton Hill
941,Magic Roundabout Nurseries Ltd,North Lambeth
942,Loughborough Primary School - Breakfast Club,Brixton/Tulse Hill
952,Whippersnappers Inclusive After School Club,Brixton/Stockwell
961,Streatham Wells Primary School - Breakfast Club,Streatham
972,Hitherfield Primary School - Breakfast Club,Streatham
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,Streatham
975,Oasis Academy Johanna - Breakfast Club,North Lambeth
976,Oasis Academy Johanna - After School Club,North Lambeth
988,Rosendale Primary School Breakfast Club,Norwood
1072,St Peter's Church - Breakfast Club,Streatham
1383,Brixton Library,Brixton/Stockwell
1393,Clapham Library,Brixton/Stockwell
1399,Durning Library,North Lambeth
1404,Minet Library,Brixton/Stockwell
1415,Tate South Lambeth Library,North Lambeth
1420,Streatham Library,Streatham
1445,Waterloo Library,North Lambeth
1450,West Norwood Library,Norwood
1514,Kennington Park Centre Stay And Play,North Lambeth
1517,Vauxhall Primary School - Breakfast Club,North Lambeth
1519,Kennington Park Centre Adventure Playground,North Lambeth
1612,Friday Youth Club @ Slade Gardens Adventure Playground,Brixton/Stockwell
1616,Streatham Adventure Playground,Streatham
1657,Flaxman Sports Centre,Brixton/Stockwell
1658,Clapham Leisure Centre,Clapham/Brixton Hill
1678,Streatham Ice And Leisure Centre,Streatham
1706,Clapham Manor - Breakfast Club,Clapham/Brixton Hill
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,North Lambeth
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,North Lambeth
1938,Whippersnappers,Brixton/Stockwell
2113,St Michael's Fellowship,Streatham
2124,High Trees Community Development Trust,Brixton/Tulse Hill
2312,Wyvil Language Centre,North Lambeth
2321,Home-Start Lambeth,Brixton/Tulse Hill
2665,Hill Mead Primary School - Breakfast Club,North Lambeth
2701,Special Educational Needs (SEND),Brixton/Stockwell
2701,Special Educational Needs (SEND),Brixton/Tulse Hill
2701,Special Educational Needs (SEND),Clapham/Brixton Hill
2701,Special Educational Needs (SEND),North Lambeth
2701,Special Educational Needs (SEND),Norwood
2701,Special Educational Needs (SEND),Streatham
3048,Lifelong Family Links Playschemes,Brixton/Stockwell
3048,Lifelong Family Links Playschemes,Brixton/Tulse Hill
3048,Lifelong Family Links Playschemes,Clapham/Brixton Hill
3048,Lifelong Family Links Playschemes,North Lambeth
3048,Lifelong Family Links Playschemes,Norwood
3048,Lifelong Family Links Playschemes,Streatham
3076,Bonneville Primary School - Carry On Café,Clapham/Brixton Hill
3093,Every Pound Counts,Brixton/Stockwell
3093,Every Pound Counts,Brixton/Tulse Hill
3093,Every Pound Counts,Clapham/Brixton Hill
3093,Every Pound Counts,North Lambeth
3093,Every Pound Counts,Norwood
3093,Every Pound Counts,Streatham
3095,Park Campus Academy (Secondary Alternative Provision),Norwood
3156,Ferndale Community Sports Centre,Brixton/Stockwell
3444,Lambeth Somali Community Association,North Lambeth
3843,Wheels For Wellbeing,Brixton/Stockwell
3843,Wheels For Wellbeing,Brixton/Tulse Hill
3843,Wheels For Wellbeing,Clapham/Brixton Hill
4063,Welcare - Lambeth Office,Brixton/Stockwell
4147,National Autistic Society,Brixton/Stockwell
4147,National Autistic Society,Brixton/Tulse Hill
4147,National Autistic Society,Clapham/Brixton Hill
4147,National Autistic Society,North Lambeth
4147,National Autistic Society,Norwood
