System_Ref,FIS_Provider_Name,Facility_Description
476,Springfield Community Flat After School Club,Garden
476,Springfield Community Flat After School Club,Close To A Bus Stop
476,Springfield Community Flat After School Club,Car Parking
476,Springfield Community Flat After School Club,Disabled Parking
709,Triangle Adventure Playground,Garden
709,Triangle Adventure Playground,Outdoor Playground
709,Triangle Adventure Playground,Accessible toilets
1383,Brixton Library,External Ramps
1383,Brixton Library,Wheelchair Friendly
1383,Brixton Library,Induction Loop
1383,Brixton Library,Qualified First Aider On Site
1388,Carnegie Library,External Ramps
1388,Carnegie Library,Disabled Toilets
1393,Clapham Library,Accessible toilets
1393,Clapham Library,External Ramps
1393,Clapham Library,Lift
1393,Clapham Library,Wheelchair Accessible Venue
1393,Clapham Library,Wheelchair Accessible Toilet
1393,Clapham Library,Changing Room With Changing Bench And Hoist
1399,Durning Library,Disabled Toilets
1399,Durning Library,Wheelchair Accessible Venue
1415,Tate South Lambeth Library,Wheelchair Accessible Venue
1420,Streatham Library,Disabled Toilets
1420,Streatham Library,Wheelchair Accessible Venue
1445,Waterloo Library,Disabled Toilets
1445,Waterloo Library,Wheelchair Accessible Venue
1450,West Norwood Library,Disabled Parking
1450,West Norwood Library,Disabled Toilets
1450,West Norwood Library,Wheelchair Accessible Venue
1491,Slade Gardens Play And Stay,External Ramps
1514,Kennington Park Centre Stay And Play,Wheelchair Friendly
1525,Streatham Vale Stay And Play,Garden
1525,Streatham Vale Stay And Play,Messy Play Area
1525,Streatham Vale Stay And Play,Outdoor Playground
1525,Streatham Vale Stay And Play,Refreshments
1525,Streatham Vale Stay And Play,Accessible toilets
1525,Streatham Vale Stay And Play,Close To A Bus Stop
1525,Streatham Vale Stay And Play,External handrails
1525,Streatham Vale Stay And Play,External Ramps
1525,Streatham Vale Stay And Play,Kitchen
1525,Streatham Vale Stay And Play,Disabled Toilets
1525,Streatham Vale Stay And Play,Wheelchair Friendly
1525,Streatham Vale Stay And Play,Baby Changing Facilities
1657,Flaxman Sports Centre,External Ramps
1657,Flaxman Sports Centre,Wheelchair Accessible Venue
1657,Flaxman Sports Centre,Wheelchair Accessible Toilet
1658,Clapham Leisure Centre,Lift
1658,Clapham Leisure Centre,Wheelchair Friendly
1658,Clapham Leisure Centre,Wheelchair Accessible Toilet
1678,Streatham Ice And Leisure Centre,External Ramps
1678,Streatham Ice And Leisure Centre,Lift
1678,Streatham Ice And Leisure Centre,Disabled Parking
1678,Streatham Ice And Leisure Centre,Wheelchair Accessible Venue
1678,Streatham Ice And Leisure Centre,Wheelchair Accessible Toilet
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Close To A Bus Stop
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Baby Changing Facilities
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Qualified First Aider On Site
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Wheelchair Accessible Venue
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Wheelchair Accessible Toilet
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Outside Play Opportunities
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,Suitable For Children And Young People With S.E.N.
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Close To A Bus Stop
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Baby Changing Facilities
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Qualified First Aider On Site
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,Wheelchair Accessible Venue
