System_Ref,FIS_Provider_Name,Level_1_Description,Upload_to_FIDy
207,Kids' City At Woodmansterne Primary School - After School Club,Families,FSD
207,Kids' City At Woodmansterne Primary School - After School Club,SEND Local Offer,FSD
208,Arty Party,Families,FSD
208,Arty Party,SEND Local Offer,FSD
294,Tulse Hill Adventure Playground,Families,FSD
294,Tulse Hill Adventure Playground,SEND Local Offer,FSD
294,Tulse Hill Adventure Playground,Young People,FSD
297,Kids' City At St. Marys R.C. Primary School - After School Club,Families,FSD
297,Kids' City At St. Marys R.C. Primary School - After School Club,SEND Local Offer,FSD
301,Slade Gardens Adventure Playground,Families,FSD
301,Slade Gardens Adventure Playground,SEND Local Offer,FSD
301,Slade Gardens Adventure Playground,Young People,FSD
391,St Peters After School Club,Families,ECD
391,St Peters After School Club,SEND Local Offer,ECD
476,Springfield Community Flat After School Club,Families,ECD
476,Springfield Community Flat After School Club,SEND Local Offer,ECD
508,EKC at Archbishop Sumner School,Families,ECD
508,EKC at Archbishop Sumner School,SEND Local Offer,ECD
630,Aktiv-Fun,Families,ECD
630,Aktiv-Fun,SEND Local Offer,ECD
697,Rosemead Preparatory School & Nursery,Families,ECD
697,Rosemead Preparatory School & Nursery,SEND Local Offer,ECD
698,The Whitehouse Prep & Woodentops Kindergarten,Families,ECD
698,The Whitehouse Prep & Woodentops Kindergarten,SEND Local Offer,ECD
699,Broomwood Hall School,Families,ECD
699,Broomwood Hall School,SEND Local Offer,ECD
701,Streatham & Clapham High School Junior Dept,Families,ECD
701,Streatham & Clapham High School Junior Dept,SEND Local Offer,ECD
702, London Steiner School,Families,ECD
702, London Steiner School,SEND Local Offer,ECD
703,Lollard Street Adventure Playground,Families,FSD
703,Lollard Street Adventure Playground,SEND Local Offer,FSD
703,Lollard Street Adventure Playground,Young People,FSD
706,Willington Road Youth & Community Hub,Families,FSD
706,Willington Road Youth & Community Hub,SEND Local Offer,FSD
706,Willington Road Youth & Community Hub,Young People,FSD
709,Triangle Adventure Playground,Families,FSD
709,Triangle Adventure Playground,SEND Local Offer,FSD
709,Triangle Adventure Playground,Young People,FSD
802,Elm Court School,Families,ECD
802,Elm Court School,SEND Local Offer,ECD
803,Lansdowne School,Families,ECD
803,Lansdowne School,SEND Local Offer,ECD
804,The Michael Tippett School,Families,FSD
804,The Michael Tippett School,SEND Local Offer,FSD
805,Turney Primary And Secondary Special School,Families,ECD
805,Turney Primary And Secondary Special School,SEND Local Offer,ECD
874,The Livity School,Families,FSD
874,The Livity School,SEND Local Offer,FSD
875,Allen Edwards Primary School - After School Club,Families,ECD
875,Allen Edwards Primary School - After School Club,SEND Local Offer,ECD
877,Cherubins Day Nursery Ltd,Families,ECD
877,Cherubins Day Nursery Ltd,SEND Local Offer,ECD
882,Holmewood Nursery School - After School Club,Families,ECD
882,Holmewood Nursery School - After School Club,SEND Local Offer,ECD
883,Loughborough Primary School - After School Club,Families,ECD
883,Loughborough Primary School - After School Club,SEND Local Offer,ECD
885,Julians Primary School - Breakfast Club,Families,ECD
885,Julians Primary School - Breakfast Club,SEND Local Offer,ECD
890,Telferscot Primary School - After School Club,Families,ECD
890,Telferscot Primary School - After School Club,SEND Local Offer,ECD
893,Christ Church Primary Sw9 - After School Club,Families,ECD
893,Christ Church Primary Sw9 - After School Club,SEND Local Offer,ECD
894,Durand Academy - After School Club,Families,ECD
894,Durand Academy - After School Club,SEND Local Offer,ECD
897,Hitherfield Primary School - After School Club,Families,ECD
897,Hitherfield Primary School - After School Club,SEND Local Offer,ECD
901,Rosendale Primary School After School Club,Families,ECD
901,Rosendale Primary School After School Club,SEND Local Offer,ECD
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,Families,ECD
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,SEND Local Offer,ECD
903,Stockwell Primary School - After School Club,Families,ECD
903,Stockwell Primary School - After School Club,SEND Local Offer,ECD
908,Vauxhall City Farm,Families,FSD
908,Vauxhall City Farm,SEND Local Offer,FSD
908,Vauxhall City Farm,Young People,FSD
919,Macaulay Church Of England Primary School - Breakfast Club,Families,ECD
919,Macaulay Church Of England Primary School - Breakfast Club,SEND Local Offer,ECD
924,Hurley Pre-School,Families,ECD
924,Hurley Pre-School,SEND Local Offer,ECD
925,Hurley Pre-School,Families,ECD
925,Hurley Pre-School,SEND Local Offer,ECD
941,Magic Roundabout Nurseries Ltd,Families,FSD
941,Magic Roundabout Nurseries Ltd,SEND Local Offer,FSD
942,Loughborough Primary School - Breakfast Club,Families,ECD
942,Loughborough Primary School - Breakfast Club,SEND Local Offer,ECD
952,Whippersnappers Inclusive After School Club,Families,FSD
952,Whippersnappers Inclusive After School Club,SEND Local Offer,FSD
961,Streatham Wells Primary School - Breakfast Club,Families,ECD
961,Streatham Wells Primary School - Breakfast Club,SEND Local Offer,ECD
972,Hitherfield Primary School - Breakfast Club,Families,ECD
972,Hitherfield Primary School - Breakfast Club,SEND Local Offer,ECD
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,Families,ECD
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,SEND Local Offer,ECD
975,Oasis Academy Johanna - Breakfast Club,Families,ECD
975,Oasis Academy Johanna - Breakfast Club,SEND Local Offer,ECD
976,Oasis Academy Johanna - After School Club,Families,ECD
976,Oasis Academy Johanna - After School Club,SEND Local Offer,ECD
988,Rosendale Primary School Breakfast Club,Families,ECD
988,Rosendale Primary School Breakfast Club,SEND Local Offer,ECD
1012,Cherubins Day Nursery Ltd,Families,FSD
1012,Cherubins Day Nursery Ltd,SEND Local Offer,FSD
1072,St Peter's Church - Breakfast Club,Families,ECD
1072,St Peter's Church - Breakfast Club,SEND Local Offer,ECD
1383,Brixton Library,Families,FSD
1383,Brixton Library,SEND Local Offer,FSD
1383,Brixton Library,Young People,FSD
1388,Carnegie Library,Families,FSD
1388,Carnegie Library,SEND Local Offer,FSD
1388,Carnegie Library,Young People,FSD
1393,Clapham Library,Families,FSD
1393,Clapham Library,SEND Local Offer,FSD
1393,Clapham Library,Young People,FSD
1399,Durning Library,Families,FSD
1399,Durning Library,SEND Local Offer,FSD
1399,Durning Library,Young People,FSD
1404,Minet Library,Families,FSD
1404,Minet Library,SEND Local Offer,FSD
1404,Minet Library,Young People,FSD
1415,Tate South Lambeth Library,Families,FSD
1415,Tate South Lambeth Library,SEND Local Offer,FSD
1415,Tate South Lambeth Library,Young People,FSD
1420,Streatham Library,Families,FSD
1420,Streatham Library,SEND Local Offer,FSD
1420,Streatham Library,Young People,FSD
1445,Waterloo Library,Families,FSD
1445,Waterloo Library,SEND Local Offer,FSD
1445,Waterloo Library,Young People,FSD
1450,West Norwood Library,Families,FSD
1450,West Norwood Library,SEND Local Offer,FSD
1450,West Norwood Library,Young People,FSD
1491,Slade Gardens Play And Stay,Families,FSD
1491,Slade Gardens Play And Stay,SEND Local Offer,FSD
1514,Kennington Park Centre Stay And Play,Families,FSD
1514,Kennington Park Centre Stay And Play,SEND Local Offer,FSD
1517,Vauxhall Primary School - Breakfast Club,Families,FSD
