System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_1_Description,Level_2_Description,Level_3_Description
207,Kids' City At Woodmansterne Primary School - After School Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
207,Kids' City At Woodmansterne Primary School - After School Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
208,Arty Party,FSD,Families,Activities and things to do,Holiday activities
208,Arty Party,FSD,Families,Early Learning and childcare,Childcare during the holidays
208,Arty Party,FSD,SEND Local Offer,Activities and things to do,Holiday activities
208,Arty Party,FSD,SEND Local Offer,Early Learning and childcare,Childcare during the holidays
294,Tulse Hill Adventure Playground,FSD,Families,Activities and things to do,Adventure play
294,Tulse Hill Adventure Playground,FSD,SEND Local Offer,Activities and things to do,Adventure play
294,Tulse Hill Adventure Playground,FSD,Young People,Activities and things to do,Adventure play
297,Kids' City At St. Marys R.C. Primary School - After School Club,FSD,Families,Early Learning and childcare,Breakfast and after school clubs
297,Kids' City At St. Marys R.C. Primary School - After School Club,FSD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
301,Slade Gardens Adventure Playground,FSD,Families,Activities and things to do,Adventure play
301,Slade Gardens Adventure Playground,FSD,SEND Local Offer,Activities and things to do,Adventure play
301,Slade Gardens Adventure Playground,FSD,Young People,Activities and things to do,Adventure play
391,St Peters After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
391,St Peters After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
476,Springfield Community Flat After School Club,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
476,Springfield Community Flat After School Club,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
508,EKC at Archbishop Sumner School,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
508,EKC at Archbishop Sumner School,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
630,Aktiv-Fun,ECD,Families,Early Learning and childcare,Breakfast and after school clubs
630,Aktiv-Fun,ECD,SEND Local Offer,Early Learning and childcare,Breakfast and after school clubs
697,Rosemead Preparatory School & Nursery,ECD,Families,Early Learning and childcare,"Nursery (Private, voluntary and independent providers)"
697,Rosemead Preparatory School & Nursery,ECD,SEND Local Offer,Early Learning and childcare,"Nursery (Private, voluntary and independent providers)"
698,The Whitehouse Prep & Woodentops Kindergarten,ECD,Families,Early Learning and childcare,"Nursery (Private, voluntary and independent providers)"
698,The Whitehouse Prep & Woodentops Kindergarten,ECD,SEND Local Offer,Early Learning and childcare,"Nursery (Private, voluntary and independent providers)"
