System_Ref,FIS_Provider_Name,Upload_to_FIDy,Level_3_Description
207,Kids' City At Woodmansterne Primary School - After School Club,FSD,Breakfast and after school clubs
208,Arty Party,FSD,Holiday activities
208,Arty Party,FSD,Childcare during the holidays
294,Tulse Hill Adventure Playground,FSD,Adventure play
297,Kids' City At St. Marys R.C. Primary School - After School Club,FSD,Breakfast and after school clubs
301,Slade Gardens Adventure Playground,FSD,Adventure play
391,St Peters After School Club,ECD,Breakfast and after school clubs
476,Springfield Community Flat After School Club,ECD,Breakfast and after school clubs
508,EKC at Archbishop Sumner School,ECD,Breakfast and after school clubs
630,Aktiv-Fun,ECD,Breakfast and after school clubs
697,Rosemead Preparatory School & Nursery,ECD,"Nursery (Private, voluntary and independent providers)"
698,The Whitehouse Prep & Woodentops Kindergarten,ECD,"Nursery (Private, voluntary and independent providers)"
699,Broomwood Hall School,ECD,"Nursery (Private, voluntary and independent providers)"
701,Streatham & Clapham High School Junior Dept,ECD,"Nursery (Private, voluntary and independent providers)"
702, London Steiner School,ECD,"Nursery (Private, voluntary and independent providers)"
703,Lollard Street Adventure Playground,FSD,Adventure play
706,Willington Road Youth & Community Hub,FSD,Adventure play
709,Triangle Adventure Playground,FSD,Adventure play
802,Elm Court School,ECD,Special schools
802,Elm Court School,ECD,Secondary Special Schools
802,Elm Court School,ECD,16 - 19 Specialist Provision
803,Lansdowne School,ECD,Special schools
803,Lansdowne School,ECD,Secondary Special Schools
803,Lansdowne School,ECD,16 - 19 Specialist Provision
804,The Michael Tippett School,FSD,Special schools
804,The Michael Tippett School,FSD,Specialist Resource Base
804,The Michael Tippett School,FSD,Secondary Special Schools
804,The Michael Tippett School,FSD,16 - 19 Specialist Provision
805,Turney Primary And Secondary Special School,ECD,Special schools
805,Turney Primary And Secondary Special School,ECD,Primary Special Schools
805,Turney Primary And Secondary Special School,ECD,Secondary Special Schools
805,Turney Primary And Secondary Special School,ECD,16 - 19 Specialist Provision
874,The Livity School,FSD,Special schools
874,The Livity School,FSD,Primary Special Schools
875,Allen Edwards Primary School - After School Club,ECD,Breakfast and after school clubs
877,Cherubins Day Nursery Ltd,ECD,Breakfast and after school clubs
882,Holmewood Nursery School - After School Club,ECD,Breakfast and after school clubs
883,Loughborough Primary School - After School Club,ECD,Breakfast and after school clubs
885,Julians Primary School - Breakfast Club,ECD,Breakfast and after school clubs
890,Telferscot Primary School - After School Club,ECD,Breakfast and after school clubs
893,Christ Church Primary Sw9 - After School Club,ECD,Breakfast and after school clubs
894,Durand Academy - After School Club,ECD,Breakfast and after school clubs
897,Hitherfield Primary School - After School Club,ECD,Breakfast and after school clubs
901,Rosendale Primary School After School Club,ECD,Breakfast and after school clubs
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,ECD,Breakfast and after school clubs
903,Stockwell Primary School - After School Club,ECD,Breakfast and after school clubs
908,Vauxhall City Farm,FSD,City farms
919,Macaulay Church Of England Primary School - Breakfast Club,ECD,Breakfast and after school clubs
924,Hurley Pre-School,ECD,Breakfast and after school clubs
925,Hurley Pre-School,ECD,Breakfast and after school clubs
941,Magic Roundabout Nurseries Ltd,FSD,Holiday activities
942,Loughborough Primary School - Breakfast Club,ECD,Breakfast and after school clubs
952,Whippersnappers Inclusive After School Club,FSD,Breakfast and after school clubs
961,Streatham Wells Primary School - Breakfast Club,ECD,Breakfast and after school clubs
972,Hitherfield Primary School - Breakfast Club,ECD,Breakfast and after school clubs
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club,ECD,Breakfast and after school clubs
975,Oasis Academy Johanna - Breakfast Club,ECD,Breakfast and after school clubs
976,Oasis Academy Johanna - After School Club,ECD,Breakfast and after school clubs
988,Rosendale Primary School Breakfast Club,ECD,Breakfast and after school clubs
1012,Cherubins Day Nursery Ltd,FSD,Breakfast and after school clubs
1072,St Peter's Church - Breakfast Club,ECD,Breakfast and after school clubs
1383,Brixton Library,FSD,Libraries
1388,Carnegie Library,FSD,Libraries
1393,Clapham Library,FSD,Libraries
1399,Durning Library,FSD,Libraries
1404,Minet Library,FSD,Libraries
1415,Tate South Lambeth Library,FSD,Libraries
1420,Streatham Library,FSD,Libraries
1445,Waterloo Library,FSD,Libraries
1450,West Norwood Library,FSD,Libraries
1491,Slade Gardens Play And Stay,FSD,Parent and toddler groups
1491,Slade Gardens Play And Stay,FSD,Stay and Play one o'clock clubs
1514,Kennington Park Centre Stay And Play,FSD,Parent and toddler groups
1514,Kennington Park Centre Stay And Play,FSD,Stay and Play one o'clock clubs
1517,Vauxhall Primary School - Breakfast Club,FSD,Breakfast and after school clubs
1519,Kennington Park Centre Adventure Playground,FSD,Adventure play
1525,Streatham Vale Stay And Play,FSD,Parent and toddler groups
1525,Streatham Vale Stay And Play,FSD,Stay and Play one o'clock clubs
1612,Friday Youth Club @ Slade Gardens Adventure Playground,FSD,Youth clubs
1616,Streatham Adventure Playground,FSD,Adventure play
1657,Flaxman Sports Centre,FSD,Leisure Centres
1658,Clapham Leisure Centre,FSD,Leisure Centres
1678,Streatham Ice And Leisure Centre,FSD,Leisure Centres
1706,Clapham Manor - Breakfast Club,ECD,Breakfast and after school clubs
1841,Coin Street Neighbourhood Centre - Healthy Eating 0 - 5 Yrs,FSD,Healthy eating
1856,Coin Street Neighbourhood Centre - Holiday Playscheme,FSD,Childcare during the holidays
1930,Rough Sleepers Space,FSD,
1932,Women's Space,FSD,
1938,Whippersnappers,FSD,"Music, dance and drama"
1938,Whippersnappers,FSD,Sports
1941,Camberwell Sexual Health Centre,FSD,Sexual health
2031,Young And Talented - School Of Stage And Screen,FSD,"Music, dance and drama"
2032,Saturday Classe,FSD,Creative Arts and Multimedia
2054,Art4space,FSD,Creative Arts and Multimedia
2113,St Michael's Fellowship,FSD,Support for young parents
2124,High Trees Community Development Trust,FSD,Family learning
2124,High Trees Community Development Trust,FSD,Youth clubs
2124,High Trees Community Development Trust,FSD,Adventure play
2124,High Trees Community Development Trust,FSD,Parks and playgrounds
2124,High Trees Community Development Trust,FSD,Courses for adults
2124,High Trees Community Development Trust,FSD,Finding employment
2124,High Trees Community Development Trust,FSD,Mentoring
2124,High Trees Community Development Trust,FSD,Support for young people out of education and employment
2183,Fulham Football Club Foundation,FSD,Sports
2202,King’s College Hospital Nhs Foundation Trust,FSD,
2279,Rathbone Youth Service,FSD,Youth clubs
2312,Wyvil Language Centre,FSD,Specialist Resource Base
2312,Wyvil Language Centre,FSD,Primary Resource Bases
2321,Home-Start Lambeth,FSD,Parenting support in the early years
2321,Home-Start Lambeth,FSD,Services to support around domestic abuse
2321,Home-Start Lambeth,FSD,Support for young parents
2321,Home-Start Lambeth,FSD,Parenting support
2619,Alford House Youth Club,FSD,Youth clubs
2619,Alford House Youth Club,FSD,"Music, dance and drama"
2619,Alford House Youth Club,FSD,Sports
2665,Hill Mead Primary School - Breakfast Club,ECD,Breakfast and after school clubs
