System_Ref,Name,Telephone,Mobile,E_Mail,Publication_URL,WebSiteCorrected,Availability_Start_Date,Availability_End_Date,Last_Modified,Service_Description,Upload_to_FIDy,Per_Hour,Total_Cost__Hour,Per_Day,Total_Cost__Day,Per_Session,Total_Cost__Session,Per_Week,Total_Cost__Week,Per_Term,Total_Cost__Term,By_Arrangement,Is_Free,Registered_for_Nursery_Grant,Registered_for_2yr_old_Funding,Offers_Extended_Hours,Offers_Stretched_Entitlement,Contact_For_Vacancy_Details,Immediate_Vacancies_Available,Opening_Times_Code,Opening_Times_Description,Note,Provider_Type_Description
207,Kids' City At Woodmansterne Primary School - After School Club,07950 963 240,,info@kidscity.org.uk,,http://kidscity.org.uk/,01/09/2008,,07/06/2022,"Kids' City runs after school clubs for children aged 3 to11 years from the close of school until 6.00pm.

Our caring team of staff and volunteers are all fully trained with enhanced DBS checks and have a passion for play! We run a fantastic and exciting programme of activities, delivered by professionals.

For more information get in touch!
",FSD,False,,False,,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,"Prices:

After School Club                   £14.50
Superheroes After School     £19.50",After School Club
208,Arty Party,020 7498 8324,,johnforster@arty-party.co.uk,,https://artyparty.co.uk/,17/08/2009,,03/02/2022,"We run every holiday from 9am – 3.30pm daily.

Our Holiday Workshops are a great opportunity for your child to try new and exciting Art and Craft techniques.

Each holiday we use different themes for inspiration from current exhibitions to Brothers Grimm, Picasso, Inuit art, Roald Dahl, Miro, Ancient Egypt and even making poodles for Paris in the Spring time!

We look at all sorts of artists, countries and both historical and contemporary popular culture.

But its not all Art, each of our holiday sites are chosen so the children can run around, play and have their picnics outside at break times and lunch. We end each day with party games and dancing!
",FSD,False,,True,42,False,,False,,False,,False,False,False,False,False,False,True,False,SH,School Holidays Only,"Must book in advance.  Bring packed lunch & an apron
We provide arts & crafts, mainly indoors activities

",Holiday Provision
294,Tulse Hill Adventure Playground,020 8674 3975,,elen.evans@high-trees.org,,https://www.high-trees.org,17/08/2009,,28/01/2022,"At High Trees, we provide a safe and supportive environment for children, young people and their families to grow and develop educationally and personally.

We appreciate how much children learn through play, and our Adventure Playground forms a crucial space where local children and young people can meet, socialise and let their imaginations run free!
",FSD,False,,False,,False,,False,,False,,False,True,False,False,False,False,True,False,AY,All Year,,Adventure Playground
297,Kids' City At St. Marys R.C. Primary School - After School Club,07850 003 604,,info@kidscity.org.uk,,http://kidscity.org.uk/,17/08/2009,,07/06/2022,"Kids' City runs after school clubs for children aged 3 to11 years from the close of school until 6pm.

Our caring team of staff and volunteers are all fully trained with enhanced DBS checks and have a passion for play! We run a fantastic and exciting programme of activities, delivered by professionals.

For more information get in touch!
",FSD,False,,False,,False,,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,"Prices:

After School Club                    £14.50
Superheroes After School      £19.50",After School Club
301,Slade Gardens Adventure Playground,020 7737 3829,,sladeadventure@btinternet.com,,http://www.sladeadventure.co.uk/,17/08/2009,,28/01/2022,"Slade Gardens Adventure Playground is a great place for young people aged 5-19 year olds. We are open to children of every background where young people can socialise and learn a range of new skills.

The staff are all very supportive, experienced and come from a range of backgrounds. We have exciting playground structures, inside games room and an area for arts and craft. We have a pool table, 4 table football tables, computers and table tennis. 

We are a great place to make new friends and build confidence through different workshops. 

",FSD,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,TT,Term Time,"The service  is situated in Slade Gardens park,  on the corner of Stockwell Park Road and Lorn Road.  The nearest post code is SW9 0AD.
Holiday Services take place a various time through the day.

",Adventure Playground
391,St Peters After School Club,020 8670 9486,07910 272 319,,,,01/09/2008,07/01/2014,03/02/2022,After school club offering childcare outside of normal school hours.,ECD,False,,False,,True,12,False,,False,,False,False,False,False,False,False,True,False,TT,Term Time,"For children using the after school provision:
3 days or less: £14 per day
4 days or more: £12 per day",After School Club
476,Springfield Community Flat After School Club,020 7498 0777,07837 730 956,earlyyears@springfieldcommunityflat.com,,https://www.springfieldcommunityflat.com/,17/08/2009,,02/02/2022,"Our After Schools Club takes children from 8 schools.   

We run after-school club for 4 to 11 year olds. We provide creative and stimulating activities for children in a supported setting with trained experienced staff (the head of each setting is trained to degree level in childcare). Childcare and accompanying parenting support forms a key part of our work and was the foundation from which SCF grew. We believe that good childcare is the first building block of any regeneration, allowing parents to work and providing support to disadvantaged children

Our provisions offer a healthy nutritious meal every day, plenty of physical exercise because all our over 8’s go regularly to the Adventure Playground and several of our staff are skilled sports activities.  We follow the National curriculum and we continue to meet Ofsted standards.  

We also run very successful Easter, Summer and Playschemes.
",ECD,False,,False,,False,,False,,False,,False,False,True,True,False,False,True,True,TT,Term Time,,After School Club
508,EKC at Archbishop Sumner School,07956 306 341,,,,http://www.archbishop-sumners-primary.lambeth.sch.uk/,26/03/2009,,02/02/2022,Ofsted Registered After School Club.,ECD,False,,True,5,False,,True,25,False,,False,False,False,False,False,False,True,False,TT,Term Time,,After School Club
630,Aktiv-Fun,07581 054 996,,,,,21/02/2008,,02/02/2022,After school club offering childcare outside of normal school hours.,ECD,False,,False,,False,,False,,False,,False,True,False,False,False,False,True,False,TT,Term Time,,After School Club
697,Rosemead Preparatory School & Nursery,020 8670 5865,,admin@rosemeadprepschool.org.uk,https://www.rosemeadprepschool.org.uk/wp-content/uploads/2019/09/Curriculum-Teaching-and-Learning-Policy-2019.pdf,https://www.rosemeadprepschool.org.uk/,29/10/2009,,28/01/2022,"Head: Mr Phil Souter

Rosemead Preparatory School & Nursery, Dulwich, a co-educational day prep school for children aged 2 ½ to 11.

",ECD,False,,False,,False,,False,,False,,False,False,True,True,True,True,False,True,TT,Term Time,"Nursery session times:

Part-time children - 8.55 am -12.00 noon   

Full time children - 8.55 am - 3.20 pm   

Early morning club from 7.30 am 

After school care until 6.00 pm. 

Flexibility with regards to attendance patterns are offered.",Independent School
698,The Whitehouse Prep & Woodentops Kindergarten,020 8674 9514,,office@whitehouseschool.com,http://whitehouseschool.com/wp-content/uploads/2019/01/Inclusion-and-SEND-PDF.pdf,http://whitehouseschool.com/,29/10/2009,,30/05/2022,"Headteacher: Mr Tony Lewis

The Whitehouse Prep & Woodentops Kindergarten cater for children from two and a half to eleven years old, and we are lucky  to teach small classes of happy children in a beautiful Cubitt designed Victorian villa in Clapham, situated, five minutes from Clapham Common and Balham, in the midst of a vibrant community.  In keeping with our ethos of bringing out the best in each and every child, we keep the school small and personal.  Our class sizes average sixteen pupils and we make sure that every child from the beginning of their time with us feels valued and cared for with a special part to play in the everyday life of the school.",ECD,False,,False,,False,,False,,False,,False,False,True,True,True,False,True,False,TT,Term Time,"
Full day sessions         08:30 am - 16.00 pm

Morning sessions         08:30 am -12.00 noon

Afternoon sessions    13.00 pm - 16.00 pm

Lunch Club (optional)  12.00 noon - 13.00 pm 
 
",Independent School
699,Broomwood Hall School,020 8682 8850,,broomwood@northwoodschools.com,https://www.northwoodschools.com/northwood-schools/policies-inspections,https://www.northwoodschools.com/,29/10/2009,,28/01/2022,"Headmistress: Carole Jenkinson  (Lower School)

Broomwood Hall School is an independent day school for girls aged from 4 to 13 and boys aged from 4 to 8 years.The school is located on four sites,three of which are near Nightingale Lane and the other based two miles away at Garrad's Road. ",ECD,False,,False,,False,,False,,True,5610,False,False,True,False,True,False,True,False,TT,Term Time,Minibus collection from SW12 areas,Independent School
