System_Ref,FIS_Provider_Name,School_Name,Open_AM,Open_PM
391,St Peters After School Club,Julian's Primary School,Yes,Yes
476,Springfield Community Flat After School Club,Allen Edwards Primary School,No,Yes
476,Springfield Community Flat After School Club,Heathbrook Primary School,No,Yes
476,Springfield Community Flat After School Club,Herbert Morrison Primary School,No,Yes
476,Springfield Community Flat After School Club,Van Gogh Primary,No,Yes
476,Springfield Community Flat After School Club,Wyvil Primary School,No,Yes
476,Springfield Community Flat After School Club,St Helen's Catholic Primary School,No,Yes
476,Springfield Community Flat After School Club,St Mary's Roman Catholic Primary School (Lambeth),No,Yes
476,Springfield Community Flat After School Club,St Stephen's Church of England Primary School,No,Yes
508,EKC at Archbishop Sumner School,Walnut Tree Walk Primary School,No,Yes
508,EKC at Archbishop Sumner School,Archbishop Sumner Church of England Primary School,No,Yes
508,EKC at Archbishop Sumner School,St Jude's Church of England Primary School (Lambeth),No,Yes
630,Aktiv-Fun,Bonneville Primary School,No,Yes
630,Aktiv-Fun,Kings Avenue Primary School,No,Yes
875,Allen Edwards Primary School - After School Club,Allen Edwards Primary School,No,Yes
877,Cherubins Day Nursery Ltd,Hitherfield Primary School,No,Yes
877,Cherubins Day Nursery Ltd,Streatham Wells Primary School,Yes,Yes
877,Cherubins Day Nursery Ltd,Christ Church Primary SW9,No,Yes
877,Cherubins Day Nursery Ltd,Holy Trinity Church of England Primary School,Yes,Yes
883,Loughborough Primary School - After School Club,Loughborough Primary School,No,Yes
885,Julians Primary School - Breakfast Club,Julian's Primary School,Yes,No
890,Telferscot Primary School - After School Club,Telferscot Primary School,No,Yes
894,Durand Academy - After School Club,Van Gogh Primary,No,Yes
897,Hitherfield Primary School - After School Club,Hitherfield Primary School,No,Yes
901,Rosendale Primary School After School Club,Rosendale Primary School,No,Yes
902,St Andrews Roman Catholic Primary School -  Twighlights After School Club,St Andrew's Catholic Primary School,No,Yes
903,Stockwell Primary School - After School Club,Stockwell Primary School,No,Yes
919,Macaulay Church Of England Primary School - Breakfast Club,Macaulay Church of England Primary School,Yes,No
942,Loughborough Primary School - Breakfast Club,Loughborough Primary School,Yes,No
952,Whippersnappers Inclusive After School Club,Jessop Primary School,No,No
952,Whippersnappers Inclusive After School Club,Jubilee Primary School,No,No
952,Whippersnappers Inclusive After School Club,Rosendale Primary School,No,Yes
952,Whippersnappers Inclusive After School Club,St Saviour's Church of England Primary School,No,No
952,Whippersnappers Inclusive After School Club,St Jude's Church of England Primary School (Lambeth),No,No
952,Whippersnappers Inclusive After School Club,The Livity School,No,Yes
952,Whippersnappers Inclusive After School Club,Turney Primary and Secondary Special School,No,Yes
952,Whippersnappers Inclusive After School Club,Judith Kerr Primary School,No,Yes
