System_Ref,Name,Provider_Type_Description,Day_Care_Type_Description,First_Line,Second_Line,Third_Line,Locality,Town,Post_Code,Telephone,Mobile,E_Mail,Web_Site2
5678,Grove Adventure Playground,Adventure Playground,,18 Gordon Grove,,,,London,SE5 9DT,020 7737 0956,07799 621 582,ljactiongroup@gmail.com,https://www.grove-playground.org.uk/
10814,St Helens Catholic School Breakfast Club,Breakfast Club,,St Helens Roman Catholic Primary School,Knowle Close,,,London,SW9 0TQ,020 7274 4343,,admin@st-helens.lambeth.sch.uk,https://www.st-helens.lambeth.sch.uk/
11143,Kids' City At Reay Primary School - Breakfast Club,Breakfast Club,,Reay Primary School House,Hackford Road,,,London,SW9 0EN,07590 963 237,,info@kidscity.org.uk,http://kidscity.org.uk/
11297,Christ Church (Streatham) Church Of England Primary School - Early Birds Breakfast Club,Breakfast Club,,Christ Church of E Primary School,Cotherstone Road,,,London,SW2 3NF,020 8674 4308,,admin.sch.uk@st-lukes-primary.lambeth.sch.uk,http://www.christchurchstreatham.lambeth.sch.uk/Extended-Services-22092021223857/
10047,North Lambeth Better Start Area: Ethelred Children's Centre,Children's Centre,,1 Gundulf Street,,,,London,SE11 6BG,020 7582 9711,,ccadmin@ethelred-nursery.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10060,North Lambeth Better Start Area: St Stephen's Children's Centre,Children's Centre,,1 Meadow Place,,,,London,SW8 1XZ,020 7735 1540,,ccadmin@st-stephens.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10061,Brixton Stockwell Better Start Area: Stockwell Children's Centre,Children's Centre,,Burgoyne Road,,,,London,SW9 9QJ,020 7326 7328,,clericalofficer1@stockwell-pri.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10062,Brixton Stockwell Better Start Area: Jessop Children's Centre,Children's Centre,,Jessop School,Lowden Road,,,London,SE24 0BJ,020 7737 5164,,ccadmin@jessop.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10063,Brixton Stockwell Better Start Area: Liz Atkinson Children's Centre,Children's Centre,,Mostyn Road,,,,London,SW9 6PH,020 4530 5735,,lizatkinson@jsfederation.or.uk,https://www.lambeth.gov.uk/childrenscentres
10064,Brixton Tulse Hill Better Start Area: Loughborough Children's Centre,Children's Centre,,Loughborough Childrens Centre,Loughborough Primary School,Minet Road,,London,SW9 7UA,020 7274 8374,,office@loughborough.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10065,Brixton Tulse Hill Better Start Area: Jubilee Children's Centre,Children's Centre,,Jubilee Primary School,Tulse Hill,,,London,SW2 2JE,020 8678 9160,,admin@jubilee.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10068,Brixton Tulse Hill Better Start Area: Effra At Brockwell Children's Centre,Children's Centre,,One O Clock Club,Brockwell Park,Arlingford Road,,London,SW2 2TA,020 8671 4883,,admin@jubilee.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10070,Norwood Better Start Area: Benton's Lane Children's Centre,Children's Centre,,18 Benton's Lane,,,,London,SE27 9UD,020 3409 0704,,admin@hitherfield.co.uk,https://www.lambeth.gov.uk/childrenscentres
10071,Norwood Better Start Area: Rosendale Children's Centre,Children's Centre,,Rosendale Primary School,Rosendale Road,,,London,SE21 8LR,020 8670 4962,,admin@hitherfield.co.uk,https://www.lambeth.gov.uk
10072,Norwood Better Start Area: Crown Lane Children's Centre,Children's Centre,,Crown Lane Primary School,Crown Lane,,,London,SW16 3HX,020 8670 4713,,admin@hitherfield.co.uk,https://lambeth.gov.uk.childrenscentre
10074,Streatham Better Start Area: Hitherfield Children's Centre,Children's Centre,,Hitherfield Children's Centre,Hitherfield Road,,,London,SW16 2LW,020 8835 9569,,admin@hitherfield.co.uk,https://www.lambeth.gov.uk/childrenscentres
10076,Streatham Better Start Area: Sunnyhill Children's Centre,Children's Centre,,Sunnyhill Primary School,Sunnyhill Road,,,London,SW16 2UW,07593 437 597,,admin@hitherfield.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10077,Streatham Better Start Area: Streatham Hub Children's Centre,Children's Centre,,Streatham United Reformed Church,388 Streatham High Road,,,London,SW16 6HX,,,admin@hitherfield.co.uk,https://www.lambeth.gov.uk/childrenscentres
10084,Clapham And Brixton Hill Better Start Area: Maytree Children's Centre,Children's Centre,,Allingham Road,,,,London,SW4 8EG,020 8671 3298,,,https://www.lambeth.gov.uk/childrenscentre
10085,Clapham And Brixton Hill Better Start Area - Clapham Manor Children's Centre,Children's Centre,,Belmont Close,,,,London,SW4 6AT,020 7627 9917,,cc@maytree-school.org.uk,https://www.clapham-manorcc.co.uk
10086,Clapham And Brixton Hill Better Start Area: Tree House Children's Centre,Children's Centre,,Holmewood Nursery School,Upper Tulse Hill,,,London,SW2 2RW,020 8674 6060,,admin@holmewoodnurseryschool.org.uk,https://www.lambeth.gov.uk/childrenscentres
10049,North Lambeth Better Start Area: Henry Fawcett Children's Centre,Children's Centre,,Henry Fawcett Primary School,Clayton Street,,,London,SE11 5BZ,020 7091 1282,,ccadmin@henryfawcett.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
11199,Kids' City At Reay Primary School – After School Club,After School Club,,Reay Primary School,Hackford Road,,,London,SW9 0EN,07590 963 237,,info@kidscity.org.uk,http://kidscity.org.uk/
10249,Tulse Hill Bloco After School Club,After School Club,,65 Christchurch Road,,,,London,SW2 3DH,07795 142 535,,tamzyn@kinetikabloco.co.uk,https://www.kinetikabloco.co.uk/join-us/
10333,Sunnyhill Primary School - After School Club,After School Club,,Sunnyhill Primary School,Sunnyhill Road,,,London,SW16 2UW,020 8769 4785,,info@sunnyhill.lambeth.sch.uk,https://www.sunnyhillprimary.com/page/?title=Breakfast+and+After+School+Care&pid=46
8855,YPM ASC At Fenstanton Primary School,After School Club,,Fenstanton Primary School,Abbots Park,,,London,SW2 3PW,020 7274 4503,,,http://www.youngpeoplematter.org/
9301,Fray Bambino After Care,After School Club,,Parish Hall,Churchmore Road,,,London,SW16 5UZ,020 8765 9923,,,
10811,Springfield Community Flat Youth Club,Youth Club,,53-54 Brocket House,,Union Grove,,London,SW8 2RE,020 7018 6980,020 7018 6980,admin@springfieldcommunityflat.com,https://www.springfieldcommunityflat.com/welcome/
10875,The Weir Link - After School Homework Club,Homework Club,,33 Weir Road,,,,London,SW12 0NU,0208 675 2481,,hello@theweirlink.org.uk,https://www.theweirlink.org.uk/activities
7433,Coin Street Youth Night,Youth Club,,34 - 68 Colombo Street,,,,London,SE1 8DP,020 7021 1625,,community@coinstreet.org,https://coinstreet.org/events/youth-club-every-thursday-term-time-only/
9976,Coin Street Neighbourhood Centre - Stay & Play,Stay And Play One O'Clock Club,,108 Stamford Street,,,,London,SE1 9NH,020 7021 1608,,childrenscentre@coin-street.org,https://coinstreet.org/events/dads-and-male-carers-group/
10854,L.E.A.P. Little Wanderers - Delivered In Partnership With St. Stephen's Children's Centre,Stay And Play One O'Clock Club,,Vauxhall Park,,,,London,SW8 1QY,,,marta@stockwell.org.uk,https://www.leaplambeth.org.uk/events
